Title,Year,Directors
1921 / AYIRATHI THOLLAYIRATHI,1989,I.V. SASI
22nd JUNE 1897,1979,"NACHIKET, JAYU PATWARDHAN"
27 DOWN,1973,AVTAR KAUL
36 CHOWRINGHEE LANE,1981,APARNA SEN
A.B. SEE,1986,ARUN GONGADE
AABHIJATHAYAM,1971,A. VINCENT
AADMI AUR AURAT,1984,TAPAN SINHA
AADYA KIRANGAL,1965,P. BHASKARAN
AAG,1948,RAJ KAPOOR
AAGHAAT,1985,GOVIND NIHALANI
AAGOSH,1953,R.D. MATHUR
AAH,1953,RAJA NAWATHE
AAI KUNA MHANU MEE,1965,DATTA MANE
AAJ AUR KAL,1963,VASANT JOGLEKAR
AAJ KAL PARSUR GALPA,1981,NABYENDU CHATTERJEE
AAKASH DOOTHU,1993,SIBI MALAYIL
AAKHRI DAO,1958,MAHESH KAUL
AAKROSH,1980,GOVIND NIHALANI
AALAYAM,1967,THIRUMALAI & MAHALINGAM
AAMHI JATO AMUCHYA GAVA,1968,KAMALAKAR TORNE
AANA VALARTHIYA VANAMPADI,1960,SUBRAMANIAM
AANCHAL KE PHOOL,1968,KARONESH THAKUR
AANGAN KI KALI,1979,HARSH KOHLI
AANKHEN,1993,DAVID DHAVAN
AANKHON MEIN TUM HO,1997,ASHIM SAMANTA
AAROHI,1964,TAPAN SINHA
AASHA,1958,M.V. RAMAN
AASHIRWAD,1969,HRISHIKESH MUKHERJEE
AASMAN MAHAL,1965,K.A. ABBAS
AAYIRAM THALAI VANGI APOORVA CHINTAMANI,1947,T.R. SUNDARAM
AB DILLI DOOR NAHIN,1957,AMAR KUMAR
ABACHURENA POST OFFICE,1973,N. LAKSHMINARAYAN
ABARTAN / ON THE RUN,1993,BHABENDRANATH SAIKIA
ABHAR ARANYE / IN THE FOREST… AGAIN,2003,GOUTAM GHOSH
ABHAYAM / SHELTER,1991,SIVAN
ABHIMAN,1973,HRISHIKESH MUKHERJEE
ABHIMAN,1957,MAHESH KAUL
ABHIMANYU,1948,A. KASILINGAM
ABHOYA O SRIKANTA,1965,HARIDAS BHATTACHARJEE
ABOLI,1953,ANANT MANE
ACCHA BURA,1972,MOHD. HUSSAIN
ACCIDENT,1984,SHANKAR NAG
ACHAMILLAI ACHAMILLAI,1984,K. BALCHANDER
ACHAN PATTALAM,1991,NORANADU RAMACHANDRAN
ACHANAK,1973,GULZAR
ACHANUM BAPPAYUM,1972,K.S. SETHUMADHAVAN
ADALAT O EKTI MEYE,1981,TAPAN SINHA
ADAMINTE VARIYELLU,1984,K.G. GEORGE
ADARSHA KUTUMBAM,1969,K. PRATYAGATMA
ADHARSHILA,1982,ASHOK AHUJA
ADHIKAR,1954,MOHAN SEHGAL
ADHIKAR,1971,DINKAR D. PATIL
ADHYAPIKA,1968,P. SUBRAMANYAM
ADI MIMANSA,1991,A.K. BIR
ADI SHANKARACHARYA,1983,G.V. IYER
ADIMAGAL,1969,K.S. SETHUMADHAVAN
ADINA MEGHA,1969,AMIT MOITRA
ADVENTURES OF A SUGAR DOLL,1965,KANTILAL RATHOD
ADWITIYA,1968,NABYENDU CHATTERJEE
AFTER THE ECLIPSE,1967,S. SUKHDEV
AFTER THE SILENCE,1977,S. SUKHDEV
AGANTUK,1991,SATYAJIT RAY
AGNI,1978,C. RADHAKRISHNAN
AGNI BANYA,1964,JAYADRATH
AGNI KANKAN,1932,V. SHANTARAM
AGNISAKSHI,1998,SHYAMPRASAD
AGNISNAAN,1985,BHABENDRANATH SAIKIA
AGRAHARATHIL KAZHUTHAI,1977,JOHN ABRAHAM
AHALYA (WHAT THE SILENCE SAID....),1997,BIJOY KETAN MISHRA
AIMING HIGH,1942,EZRA MIR
AJANA SAPATH,1967,SALIL SEN
AJEEB GHAR,2000,RAJESH AGGARWAL
AJI BAS SHUKRIYA,1958,MOHAMMED HUSSAIN
AJNABEE,2001,ABBAS MUSTAN
AKALER SANDHANEY / IN SEARCH OF FAMINE,1980,MRINAL SEN
AKASH GANGA,1959,BHALJI PENDHARKAR
AKASH KUSUM,1965,MRINAL SEN
AKBAR,1967,SHANTI S. VARMA
AKRAMANA,1979,GIRISH KASARAVALLI
ALAYAMANI,1962,K. SHANKAR
ALAYARON,1986,JWNGDAO BODOSA
ALBERT PINTO KO GUSSA KYON AATA HAI,1980,SAEED MIRZA
ALICINTE ANWESHANAM,1990,T.V. CHANDRAN
ALIF LAILA,1953,K. AMARNATH
ALKOOTATHIL THANIYE,1984,I.V. SASI
ALL INDIA RADIO,1942,EZRA MIR
ALL UNDER HEAVEN BY FORCE,1964,J.B.H. WADIA & ZUL VELANI
ALTHARA,1964,P. SUBRAMANYAM
ALWAYS TELL YOUR WIFE/MIYA BIBI,1936,FRANZ OSTEN
AMANAT,1955,ARBIND SEN
AMANUSH,1975,SHAKTI SAMANTA
AMAR,1955,MEHBOOB KHAN
AMAR BHUVAN / SWADESH,2002,MRINAL SEN
AMAR DEEP,1958,T. PRAKASH RAO
AMAR DEEPAM,1956,T. PRAKASH RAO
AMAR LENIN,1970,RITWIK GHATAK
AMAR PREM,1971,SHAKTI SAMANTA
AMAR RAHE YE PYAR,1961,PRABHU DAYAL
AMAR RAJ,1946,HOMI WADIA
AMAR SAIGAL / IMMORTAL SINGER,1955,NITIN BOSE
AMARSINGH RATHAUR,1957,JASWANT JHAVERI
AMBALAPRAVU,1970,P. BHASKARAN
AMBER,1952,JAYANT DESAI
AMBIKAPATHY,1937,P. NEELAKANTHAN
AMIR KHAN,1931,SHINDE
AMIRI,1945,P.C. BARUA
AMMA ARIYAN,1986,JOHN ABRAHAM
AMRAPALI,1966,LEKH TONDON
AMRIT MANTHAN,1934,V. SHANTARAM
AMRIT MANTHAN,1934,V. SHANTARAM
AMRITA SHERGIL,1969,B.D. GARGA
AMSHINI,1987,KISHAN KARTHA
ANAAHAT / ETERNITY,2003,AMOL PALEKAR
ANAL,1999,PARAMANANDA RAJBONGSHI
ANAMIKA,1973,RAGHUNATH JHALANI
ANAND,1970,HRISHIKESH MUKHERJEE
ANAND ASHRAM,1977,SHAKTI SAMANTA
ANANTARAM,1989,ADOOR GOPALAKRISHNAN
ANANTYATRA,1985,NACHIKET PARTWARDHAN
ANARI,1959,HRISHIKESH MUKHERJEE
ANARKALI,1955,VEDANTAM RAGHAVAIAH
ANBE VAA,1967,A.C. TRILOGCHANDER
AND I MAKE SHORT FILMS,1968,S.N.S. SHASTRY
AND MILES TO GO,1964,S. SUKHDEV
ANDAZ APNA APNA,1994,RAJKUMAR SANTOSHI
ANDHA NALL / THAT DAY,1954,S. BALACHANDER
ANDHI GALI,1985,ARUN KAUL
ANDOLAN,1951,PHANI MUJUMDAR
ANGARAKSHAK,1995,RAVI RAJA
ANGELS OF INDIA,1942,EZRA MIR
ANGOOR,1982,GULZAR
ANHONEE,1952,K.A. ABBAS
ANIRBAN,1981,BHABENDRANATH SAIKIA
